match_id,duration,start_time,radiant_team_id,radiant_name,dire_team_id,dire_name,leagueid,league_name,series_id,series_type,radiant_score,dire_score,radiant_win,version
8920294127,1820,1785376970,10207445.0,Team dnm,10207449.0,team gunnar,20030,The Boris Invitational: Streamer Battles 2,1125647.0,1.0,12,39,False,22.0
8920276254,3108,1785375082,10151099.0,Team iAnnihilate,10207444.0,Team Virsatus,20030,The Boris Invitational: Streamer Battles 2,1125649.0,1.0,40,41,False,22.0
8920265077,1779,1785373951,10207445.0,Team dnm,10207449.0,team gunnar,20030,The Boris Invitational: Streamer Battles 2,1125647.0,1.0,14,39,False,22.0
8920253110,2128,1785372803,10207448.0,Team King Potato,10151106.0,Team Boris,20030,The Boris Invitational: Streamer Battles 2,1125652.0,1.0,31,39,False,22.0
8920236199,2458,1785371260,10207447.0,Team Nyx,10207446.0,TEAM MONKEYS,20030,The Boris Invitational: Streamer Battles 2,1125627.0,1.0,56,24,True,22.0
8920233594,2209,1785370824,10151099.0,Team iAnnihilate,10207444.0,Team Virsatus,20030,The Boris Invitational: Streamer Battles 2,1125649.0,1.0,9,35,False,22.0
8920227769,2578,1785370309,10207449.0,team gunnar,10207445.0,Team dnm,20030,The Boris Invitational: Streamer Battles 2,1125647.0,1.0,21,37,False,22.0
8920209768,2573,1785368501,10151106.0,Team Boris,10207448.0,Team King Potato,20030,The Boris Invitational: Streamer Battles 2,1125641.0,1.0,48,22,True,22.0
8920197957,2036,1785367443,10207447.0,Team Nyx,10207446.0,TEAM MONKEYS,20030,The Boris Invitational: Streamer Battles 2,1125627.0,1.0,29,20,True,22.0
8920146400,3355,1785363481,10207448.0,Team King Potato,10151106.0,Team Boris,20030,The Boris Invitational: Streamer Battles 2,1125629.0,1.0,51,39,True,22.0
8920135301,3126,1785362932,10207447.0,Team Nyx,10207446.0,TEAM MONKEYS,20030,The Boris Invitational: Streamer Battles 2,1125627.0,1.0,18,41,False,22.0
8919803916,2867,1785347278,5014799.0,Nemiga Gaming,10108655.0,Amaru Gaming,19944,EPL Masters 2026 ,1125478.0,1.0,55,22,True,22.0
8919685210,3036,1785342111,5014799.0,Nemiga Gaming,10108655.0,Amaru Gaming,19944,EPL Masters 2026 ,1125478.0,1.0,36,50,False,22.0
8919546613,3474,1785337240,5014799.0,Nemiga Gaming,10108655.0,Amaru Gaming,19944,EPL Masters 2026 ,1125478.0,1.0,41,19,True,22.0
8919404744,3091,1785332059,9600141.0,Zero Tenacity,10163973.0,RE ARISE,19944,EPL Masters 2026 ,1125402.0,1.0,41,41,True,22.0
8919264561,2932,1785326793,10163973.0,RE ARISE,9600141.0,Zero Tenacity,19944,EPL Masters 2026 ,1125402.0,1.0,30,50,False,22.0
8918785800,2604,1785291198,10207448.0,Team King Potato,10207447.0,Team Nyx,20030,The Boris Invitational: Streamer Battles 2,1125333.0,0.0,21,44,False,22.0
8918779289,2373,1785290551,10207445.0,Team dnm,10151106.0,Team Boris,20030,The Boris Invitational: Streamer Battles 2,1125330.0,0.0,14,40,False,22.0
8918755623,1805,1785288288,10207449.0,team gunnar,10207444.0,Team Virsatus,20030,The Boris Invitational: Streamer Battles 2,1125323.0,0.0,43,16,True,22.0
8918752598,2825,1785287945,10151099.0,Team iAnnihilate,10207446.0,TEAM MONKEYS,20030,The Boris Invitational: Streamer Battles 2,1125320.0,0.0,35,34,True,22.0
8918719177,4705,1785284353,10207448.0,Team King Potato,10207445.0,Team dnm,20030,The Boris Invitational: Streamer Battles 2,1125307.0,0.0,50,65,True,22.0
8918712934,2401,1785283841,10207446.0,TEAM MONKEYS,10151106.0,Team Boris,20030,The Boris Invitational: Streamer Battles 2,1125305.0,0.0,10,34,False,22.0
8918698853,3526,1785282704,10207447.0,Team Nyx,10207449.0,team gunnar,20030,The Boris Invitational: Streamer Battles 2,1125300.0,0.0,67,37,True,22.0
8918646759,3130,1785278147,10207444.0,Team Virsatus,10151106.0,Team Boris,20030,The Boris Invitational: Streamer Battles 2,1125284.0,0.0,46,57,False,22.0
8918643442,4610,1785277905,10207448.0,Team King Potato,10207446.0,TEAM MONKEYS,20030,The Boris Invitational: Streamer Battles 2,1125283.0,0.0,49,50,True,22.0
8918643351,1685,1785277860,10207447.0,Team Nyx,10207445.0,Team dnm,20030,The Boris Invitational: Streamer Battles 2,1125282.0,0.0,30,18,True,22.0
8918638679,3475,1785277746,10207449.0,team gunnar,10151099.0,Team iAnnihilate,20030,The Boris Invitational: Streamer Battles 2,1125280.0,0.0,44,40,True,22.0
