match_id,start_time,duration,radiant_win,radiant_team_id,dire_team_id,leagueid,patch,radiant_roster,dire_roster
8922339160,1785500868,1894,True,10208008.0,10208009.0,19917,60,140411011;181716137;156328257;155447692;118559150,140251702;145065875;320017600;123787715;92487440
8922335342,1785501337,2298,True,9928636.0,9948367.0,20026,60,1074436691;40805086;148612029;276449590;1048617659,164047347;450454900;166806255;188351504;480210721
8922327423,1785500547,2465,True,8255888.0,9338413.0,20009,60,172099728;480412663;165564598;317880638;196878136,127617979;190826739;58513047;181267255;140288368
8922300474,1785499209,2485,True,10208003.0,10208002.0,19917,60,392565237;392169957;147767183;152859296;343084576,125445069;383788462;175311897;122817493;123023873
8922242203,1785497074,2651,False,10001885.0,9256405.0,20026,60,968545762;439345730;417604379;146383297;1675898897,93526520;196482746;1092267175;206097366;340421206
8922223454,1785495882,2938,True,8255888.0,9338413.0,20009,60,172099728;480412663;165564598;317880638;196878136,127617979;190826739;58513047;181267255;140288368
8922211678,1785494780,2532,True,10207983.0,10207984.0,19917,60,363758022;154715080;100471531;157989498;1031547092,170896543;315272623;145957968;150961567;249835593
8922186876,1785493495,2224,True,726228.0,10108655.0,19917,60,320252024;137129583;118134220;157475523;111114687,399920568;164685175;352623024;392385140;117089283
8922177380,1785492924,2419,True,10001885.0,9256405.0,20026,60,968545762;417604379;439345730;146383297;1675898897,93526520;196482746;1092267175;206097366;340421206
8922137329,1785490572,1488,True,726228.0,10108655.0,19917,60,320252024;137129583;118134220;157475523;111114687,164685175;117089283;352623024;392385140;399920568
8922133239,1785490381,2317,False,10207984.0,10207983.0,19917,60,170896543;315272623;145957968;150961567;249835593,363758022;154715080;100471531;157989498;1031547092
8922102128,1785489238,2121,False,10001885.0,9256405.0,20026,60,968545762;439345730;417604379;146383297;1675898897,93526520;196482746;1092267175;206097366;340421206
8922074642,1785486760,2192,True,10108655.0,726228.0,19917,60,399920568;164685175;352623024;117089283;392385140,320252024;137129583;118134220;157475523;111114687
8922016200,1785482749,2029,False,10207962.0,10207961.0,19917,60,87063175;131303632;116585378;9403474;155162307,96183976;294135421;1202267677;326327879;203351055
8921979012,1785479938,2657,True,2576071.0,8254145.0,19917,60,1682179459;860145568;892486081;217472313;164506534,100616105;173378701;337575662;399862798;330534326
8921949036,1785478049,2754,False,10207962.0,10207961.0,19917,60,87063175;131303632;116585378;9403474;155162307,96183976;294135421;1202267677;326327879;203351055
8921931974,1785476004,2548,False,10207960.0,10207957.0,19917,60,100616105;173378701;337575662;399862798;330534326,164506534;217472313;892486081;860145568;1682179459
8921774620,1785461240,3169,False,10207449.0,10207448.0,20030,60,126238768;175709801;79134733;150914755;55197649,396651757;241961344;99036634;81581812;83625397
8921733121,1785457477,2464,False,10207449.0,10207448.0,20030,60,126238768;55197649;175709801;150914755;79134733,396651757;241961344;99036634;81581812;83625397
8921707941,1785454114,2225,False,10207446.0,10207444.0,20030,60,106473979;141311376;190248321;86811043;134845952,86692726;421257589;175791687;315304140;207078168
8921646271,1785449402,2945,False,10207446.0,10207444.0,20030,60,106473979;190248321;141311376;86811043;134845952,86692726;315304140;421257589;207078168;175791687
8921496603,1785441508,2585,False,2163.0,9338413.0,20009,60,16497807;97590558;201358612;77490514;152962063,127617979;190826739;58513047;181267255;140288368
8921416387,1785438090,1598,True,2163.0,9338413.0,20009,60,16497807;97590558;201358612;77490514;152962063,127617979;190826739;58513047;181267255;140288368
8921343589,1785434857,680,True,9247354.0,726228.0,20009,60,10366616;100058342;898455820;183719386;25907144,320252024;137129583;118134220;157475523;111114687
8921281044,1785431876,1295,False,10108655.0,55.0,19944,60,164685175;399920568;352623024;392385140;117089283,307173570;858106446;185059559;363739653;295697470
8921245123,1785430822,2316,True,9247354.0,726228.0,20009,60,10366616;100058342;898455820;183719386;25907144,320252024;137129583;118134220;157475523;111114687
8921184022,1785427942,2898,False,10201538.0,10164236.0,20026,60,140297552;1171243748;177953305;155370747;219755398,167976729;323562138;1001714951;111030315;343909498
8921162227,1785428209,1783,True,55.0,10108655.0,19944,60,307173570;858106446;185059559;363739653;295697470,164685175;399920568;352623024;392385140;117089283
8921134590,1785426177,2467,True,726228.0,10136357.0,20009,60,320252024;137129583;118134220;157475523;111114687,111620041;152168157;138880576;101356886;210053851
8921068190,1785424307,2106,False,10201538.0,10164236.0,20026,60,1171243748;155370747;140297552;177953305;219755398,167976729;323562138;1001714951;111030315;343909498
8921021224,1785422334,2339,False,10136357.0,726228.0,20009,60,111620041;152168157;138880576;101356886;210053851,320252024;137129583;118134220;157475523;111114687
